IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
2035181057;admin74;RANK1;525814;159361;366453;0;0;0;
2031082872;quilla 753;RANK1;1063774;699228;364546;86;86;0;
1998385140;REC Guiii;RANK1;33781137;0;0;2628575;0;0;
1980521523;Jepas;RANK1;7319409;7319409;0;2328825;2328825;0;
1956671888;CherryIsland;RANK1;16270721;16253290;17431;464623;464623;0;
1951180165;strong pie;RANK1;12751919;12572498;179421;6786;6442;344;
1951179113;succeed jam;RANK1;13794663;13714972;79691;2831;2373;458;
1951175898;twig care;RANK1;13459528;13461058;-1530;5796;5348;448;
1951174320;gsrthrsd8099;RANK1;13589243;13461682;127561;8849;8414;435;
1951162540;cake cream;RANK1;15033456;15127502;-94046;3246;2812;434;
1951152006;pull suggest;RANK1;13234339;13063431;170908;3843;3438;405;
1891995534;shah alt;RANK1;8158098;8158098;0;6179;6179;0;
1876011044;moto1560;RANK1;5866344;5866344;0;672114;672114;0;
1813428745;ronsasaki7;RANK1;4064775;3702618;362157;493;493;0;
1797386635;DDF ZG;RANK1;6394020;6394020;0;878125;878125;0;
1796244329;Nosumom;RANK1;1550712;1550712;0;192;192;0;
1777475051;fake shisui;RANK1;19915316;19915316;0;45736;45736;0;
1755933105;Iztli;RANK1;7793426;7793426;0;496461;496461;0;
1688823604;Yemen2222;RANK1;108270909;109101297;-830388;1799911;1786932;12979;
1684319739;seesooo;RANK1;96874577;96754670;119907;56589;56589;0;
1631203612;Sidra 20;RANK1;206440339;206398854;41485;10684324;10684324;0;
1591429952;123456789BUA;RANK1;3992760;3992760;0;122712;122712;0;
1431949922;nosunanda;RANK1;7877277;7877277;0;127200;127200;0;
1348372520;NOSUSIRO;RANK1;463798;463798;0;695;695;0;
1336343078;NUTELLA  1;RANK1;179282076;179068680;213396;1524047;1524047;0;
1310081051;ESLAMALDFRY;RANK1;75847407;0;0;1116361;0;0;
1254877765;sulica89;RANK1;355645500;354606754;1038746;5770189;5770139;50;
1243841981;Eye Moon x;RANK1;417192828;417192828;0;180700815;180700815;0;
1232922062;Lmymm902444;RANK1;373977367;373558075;419292;3962766;3962766;0;
1214463485;wolf12x;RANK1;59605309;0;0;765488;0;0;
1107640825;Wood JR;RANK1;24206077;0;0;16301;0;0;
1107635273;O 12597;RANK1;27441310;0;0;662108;0;0;
1107631002;Stone JR;RANK1;40123076;0;0;3153080;0;0;
1103275869;Foodey JR;RANK1;87408850;0;0;25332;0;0;
1102881704;JBO BANK;RANK1;67404892;0;0;1961840;0;0;
1095730293;XHaydenX;RANK1;42740917;42740917;0;3680291;3680291;0;
1041809475;noemi cmd;RANK1;113242591;113182410;60181;646458;646246;212;
997124556;000xxc;RANK1;32079981;32079981;0;3607658;3607658;0;
928620207;ngu mieu kpp;RANK1;341146300;341146300;0;2233230;2233230;0;
900744728;NoLuckForYou;RANK5;23161142;23160142;1000;5727;5727;0;
900421560;ECLIPSE TSB;RANK1;93931720;94401270;-469550;841169;841114;55;
884386827;Conan pts;RANK1;215496007;215496007;0;4467705;4467705;0;
883359108;Yamaharob300;RANK1;2004973845;2004219485;754360;265400513;265400513;0;
812542865;XNightMareXx;RANK1;226266109;226266109;0;11777482;11777482;0;
805913851;SrProdigio;RANK1;1783370396;1780576260;2794136;515318;515318;0;
